Commune,Population ayant un emploi au total,dont: Salari?s,dont: Non-Salari?s,Ch?meurs,Population active,Taux de ch?mage (en %)
Grand-Duch? de Luxembourg,223407,203535,19872,19287,242694,7.94704442631462
Canton Capellen,17802,15993,1809,1071,18873,5.67477348593228
Dippach,1703,1535,168,114,1817,6.27407815079802
Garnich,844,750,94,25,869,2.87686996547756
Hobscheid,1431,1315,116,74,1505,4.91694352159468
K?erjeng,4094,3800,294,261,4355,5.99311136624569
Kehlen,2146,1874,272,98,2244,4.36720142602496
Koerich,971,858,113,45,1016,4.42913385826772
Kopstal,1218,1029,189,66,1284,5.14018691588785
Mamer,3002,2664,338,207,3209,6.45060766593955
Septfontaines,369,331,38,30,399,7.5187969924812
Steinfort,2024,1837,187,151,2175,6.94252873563218
Canton Esch,65723,61782,3941,7340,73063,10.0461245774195
Bettembourg,4081,3810,271,295,4376,6.74131627056673
Differdange,9487,9099,388,1445,10932,13.2180753750457
Dudelange,7985,7511,474,824,8809,9.35406970144171
Esch-sur-Alzette,12725,12031,694,2054,14779,13.8980986534948
Frisange,1862,1699,163,88,1950,4.51282051282051
Kayl,3530,3334,196,333,3863,8.62024333419622
Leudelange,1064,937,127,32,1096,2.91970802919708
Mondercange,2683,2420,263,129,2812,4.58748221906117
P?tange,6767,6420,347,810,7577,10.6902467995249
Reckange-sur-Mess,955,838,117,34,989,3.43781597573306
Roeser,2574,2342,232,138,2712,5.08849557522124
Rumelange,2019,1926,93,255,2274,11.2137203166227
Sanem,6320,5952,368,494,6814,7.24977986498386
Schifflange,3671,3463,208,409,4080,10.0245098039216
Canton Luxembourg,63167,56678,6489,5201,68368,7.60736016849988
Bertrange,2653,2352,301,160,2813,5.68787771062922
Contern,1403,1253,150,68,1471,4.62270564242012
Hesperange,5944,5390,554,370,6314,5.85999366487171
Luxembourg,39513,35531,3982,3855,43368,8.88904261206419
Niederanven,1937,1659,278,73,2010,3.6318407960199
Sandweiler,1406,1263,143,76,1482,5.12820512820513
Schuttrange,1366,1200,166,49,1415,3.46289752650177
Steinsel,1848,1640,208,119,1967,6.04982206405694
Strassen,3111,2795,316,203,3314,6.12552806276403
Walferdange,3095,2792,303,193,3288,5.8698296836983
Weiler-la-Tour,891,803,88,35,926,3.77969762419006
Canton Mersch,12962,11989,973,812,13774,5.8951648032525
Bissen,1274,1193,81,88,1362,6.46108663729809
Boevange-sur-Attert,999,904,95,43,1042,4.12667946257198
Colmar-Berg,947,897,50,73,1020,7.15686274509804
Fischbach,552,501,51,23,575,4
Heffingen,541,484,57,23,564,4.07801418439716
Larochette,967,900,67,72,1039,6.92974013474495
Lintgen,1302,1230,72,79,1381,5.7204923968139
Lorentzweiler,1451,1335,116,77,1528,5.03926701570681
Mersch,3754,3508,246,290,4044,7.17111770524233
Nommern,573,493,80,23,596,3.85906040268456
Tuntange,602,544,58,21,623,3.37078651685393
Canton Clervaux,7364,6346,1018,572,7936,7.20766129032258
Clervaux,2082,1842,240,204,2286,8.9238845144357
Parc Hosingen,1448,1290,158,101,1549,6.5203357004519
Troisvierges,1328,1174,154,111,1439,7.71369006254343
Weiswampach,714,597,117,41,755,5.43046357615894
Wincrange,1792,1443,349,115,1907,6.03041426324069
Canton Diekirch,12888,11838,1050,1168,14056,8.30961866818441
Bettendorf,1125,1036,89,95,1220,7.78688524590164
Bourscheid,676,599,77,54,730,7.3972602739726
Diekirch,2645,2448,197,269,2914,9.23129718599863
Erpeldange-sur-S?re,997,911,86,60,1057,5.67644276253548
Ettelbruck,3375,3123,252,377,3752,10.0479744136461
Feulen,789,725,64,36,825,4.36363636363636
Mertzig,901,840,61,56,957,5.85161964472309
Reisdorf,457,412,45,77,534,14.4194756554307
Schieren,809,762,47,63,872,7.22477064220184
Vall?e de l'Ernz,1114,982,132,81,1195,6.77824267782427
Canton Redange,7428,6592,836,474,7902,5.99848139711465
Beckerich,1021,936,85,56,1077,5.19962859795729
