Commune,Population ayant un emploi au total,dont: Salari?s,dont: Non-Salari?s,Ch?meurs,Population active,Taux de ch?mage (en %)
Mertert,1830,1690,140,158,1988,7.9476861167002
Wormeldange,1210,1050,160,73,1283,5.68978955572876
Canton Remich,9120,8120,1000,567,9687,5.85320532672654
Bous,750,680,70,22,772,2.84974093264249
Dalheim,880,780,100,49,929,5.27448869752422
Lenningen,780,720,60,49,829,5.91073582629674
Mondorf-les-Bains,1910,1730,180,173,2083,8.30532885261642
Remich,1430,1250,180,120,1550,7.74193548387097
Schengen,2090,1830,260,83,2173,3.81960423377819
Stadtbredimus,840,750,90,51,891,5.72390572390572
Waldbredimus,440,380,60,20,460,4.34782608695652
