Commune,Population ayant un emploi au total,dont: Salari?s,dont: Non-Salari?s,Ch?meurs,Population active,Taux de ch?mage (en %)
Grand-Duch? de Luxembourg,228423,208238,20185,19362,247785,7.81403232641201
Canton Capellen,18166,16366,1800,1066,19232,5.54284525790349
Dippach,1767,1606,161,122,1889,6.45844362096347
Garnich,845,757,88,19,864,2.19907407407407
Hobscheid,1505,1390,115,66,1571,4.20114576702737
K?erjeng,4129,3840,289,287,4416,6.49909420289855
Kehlen,2172,1897,275,91,2263,4.02121078214759
Koerich,1007,887,120,38,1045,3.63636363636364
Kopstal,1268,1082,186,61,1329,4.58991723100075
Mamer,3124,2782,342,202,3326,6.07336139506915
Septfontaines,368,326,42,31,399,7.76942355889724
Steinfort,1981,1799,182,149,2130,6.99530516431925
Canton Esch,67511,63487,4024,7315,74826,9.77601368508273
Bettembourg,4203,3913,290,332,4535,7.32083792723263
Differdange,9835,9437,398,1419,11254,12.6088501866003
Dudelange,8107,7621,486,838,8945,9.36836221352711
Esch-sur-Alzette,13155,12452,703,1997,15152,13.1797782470961
Frisange,1896,1731,165,89,1985,4.48362720403023
Kayl,3539,3338,201,333,3872,8.60020661157025
Leudelange,1102,965,137,34,1136,2.99295774647887
Mondercange,2696,2427,269,144,2840,5.07042253521127
P?tange,6990,6641,349,805,7795,10.3271327774214
Reckange-sur-Mess,971,843,128,37,1008,3.67063492063492
Roeser,2704,2470,234,135,2839,4.7551954913702
Rumelange,2074,1974,100,253,2327,10.8723678556081
Sanem,6409,6046,363,506,6915,7.3174258857556
Schifflange,3830,3629,201,393,4223,9.30618044044518
Canton Luxembourg,64685,57979,6706,5294,69979,7.5651266808614
Bertrange,2737,2416,321,164,2901,5.65322302654257
Contern,1383,1228,155,83,1466,5.66166439290587
Hesperange,6027,5440,587,395,6422,6.15073185923388
Luxembourg,40768,36661,4107,3836,44604,8.60012554927809
Niederanven,1919,1625,294,86,2005,4.28927680798005
Sandweiler,1401,1252,149,61,1462,4.17236662106703
Schuttrange,1404,1240,164,65,1469,4.42477876106195
Steinsel,1880,1662,218,104,1984,5.24193548387097
Strassen,3137,2820,317,212,3349,6.33024783517468
Walferdange,3137,2829,308,244,3381,7.21679976338361
Weiler-la-Tour,892,806,86,44,936,4.7008547008547
Canton Mersch,13156,12153,1003,837,13993,5.98156220967627
Bissen,1297,1217,80,82,1379,5.94633792603336
Boevange-sur-Attert,1004,901,103,44,1048,4.19847328244275
Colmar-Berg,965,916,49,75,1040,7.21153846153846
Fischbach,566,512,54,23,589,3.90492359932088
Heffingen,552,495,57,20,572,3.4965034965035
